Date,Country,State,Activity,Sex,Age,Deceased,Month,Year
2020-04-01,usa,CALIFORNIA,boarding,M,16.0,N,April,2020.0
2020-04-01,australia,NEW SOUTH WALES,swimming,F,,N,April,2020.0
2020-04-01,usa,FLORIDA,surfing,F,,N,April,2020.0
2020-04-01,australia,QUEENSLAND,swimming,M,23.0,Y,April,2020.0
2020-04-01,australia,NEW SOUTH WALES,surfing,M,38.0,N,April,2020.0
2020-03-01,usa,CALIFORNIA,kayaking,M,,N,March,2020.0
2020-03-01,usa,FLORIDA,surfing,M,,N,March,2020.0
2020-03-01,australia,QUEENSLAND,Unspecific,F,,N,March,2020.0
2020-03-01,new zealand,NORTH ISLAND,fishing,M,,N,March,2020.0
2020-03-01,fiji,VANUA LEVU,fishing,M,26.0,N,March,2020.0
2020-02-01,new zealand,NORTH ISLAND,surfing,M,60.0,N,February,2020.0
2020-02-01,usa,MAUI,kayaking,M,,N,February,2020.0
2010-02-01,french polynesia,MARQUESAS,kayaking,M,,N,February,2010.0
2020-01-01,bahamas,EXUMAS,Unspecific,F,24.0,N,January,2020.0
2020-01-01,australia,NEW SOUTH WALES,surfing,M,59.0,N,January,2020.0
2020-01-01,new zealand,SOUTHLAND,surfing,F,13.0,N,January,2020.0
2020-01-01,usa,NORTH CAROLINA,surfing,M,26.0,N,January,2020.0
2020-01-01,thailand,PHANG NGA PROVINCE,swimming,M,75.0,N,January,2020.0
2020-01-01,australia,QUEENSLAND,swimming,F,7.0,N,January,2020.0
2020-01-01,australia,WESTERN AUSTRALIA,diving,M,57.0,Y,January,2020.0
2020-01-01,new caledonia,,Unspecific,M,12.0,N,January,2020.0
2020-01-01,australia,WESTERN AUSTRALIA,swimming,M,21.0,Y,January,2020.0
2019-12-01,australia,QUEENSLAND,swimming,M,,N,December,2019.0
2019-12-01,seychelles,PRASLIN,swimming,F,45.0,N,December,2019.0
2019-12-01,papua new guinea,CENTRAL PROVINCE,fishing,M,33.0,Y,December,2019.0
2019-12-01,south africa,EASTERN CAPE PROVINCE,surfing,M,,N,December,2019.0
2019-12-01,new zealand,SOUTHLAND,boarding,F,17.0,N,December,2019.0
2019-12-01,usa,CALIFORNIA,surfing,M,37.0,N,December,2019.0
2019-12-01,australia,NEW SOUTH WALES,fishing,Unknown,,UNKNOWN,December,2019.0
2019-12-01,reunion island,,kayaking,M,70.0,UNKNOWN,December,2019.0
2019-12-01,australia,WESTERN AUSTRALIA,diving,M,57.0,N,December,2019.0
2019-12-01,usa,HAWAII,kayaking,M,57.0,N,December,2019.0
2019-11-01,usa,FLORIDA,surfing,M,9.0,N,November,2019.0
2019-11-01,australia,QUEENSLAND,diving,M,30.0,N,November,2019.0
2019-11-01,australia,QUEENSLAND,fishing,M,38.0,UNKNOWN,November,2019.0
2019-11-01,mexico,GUERRERO,fishing,M,,N,November,2019.0
2019-11-01,israel,,diving,M,,N,November,2019.0
2019-11-01,french polynesia,MOOREA,Unspecific,M,9.0,N,November,2019.0
2019-11-01,usa,FLORIDA,surfing,M,30.0,N,November,2019.0
2019-11-01,mexico,BAJA,diving,M,23.0,N,November,2019.0
2019-11-01,south africa,EASTERN CAPE PROVINCE,fishing,M,,N,November,2019.0
2019-11-01,usa,CALIFORNIA,surfing,F,,N,November,2019.0
2019-11-01,reunion island,SAINT-GILLES,diving,M,44.0,Y,November,2019.0
2019-10-01,australia,QUEENSLAND,diving,M,,N,October,2019.0
2019-10-01,usa,FLORIDA,surfing,M,32.0,N,October,2019.0
2019-10-01,usa,CALIFORNIA,fishing,M,,N,October,2019.0
2019-10-01,french polynesia,MOOREA,diving,F,35.0,UNKNOWN,October,2019.0
2019-10-01,australia,QUEENSLAND,surfing,M,17.0,N,October,2019.0
2019-10-01,usa,FLORIDA,surfing,M,20.0,N,October,2019.0
2019-10-01,australia,NEW SOUTH WALES,surfing,M,29.0,N,October,2019.0
2019-10-01,usa,CALIFORNIA,kayaking,M,51.0,N,October,2019.0
2019-10-01,usa,GUAM,surfing,M,,N,October,2019.0
2019-09-01,australia,NORTHERN TERRITORY,fishing,M,45.0,N,September,2019.0
2019-09-01,usa,HAWAII,surfing,F,,N,September,2019.0
2019-09-01,usa,FLORIDA,swimming,M,,N,September,2019.0
2019-09-01,usa,FLORIDA,surfing,M,13.0,N,September,2019.0
2019-09-01,usa,HAWAII,diving,Unknown,,N,September,2019.0
2019-09-01,usa,SOUTH CAROLINA,Unspecific,F,22.0,N,September,2019.0
2019-09-01,australia,WESTERN AUSTRALIA,fishing,M,,N,September,2019.0
2019-08-01,usa,CAYMAN ISLANDS,fishing,M,70.0,N,August,2019.0
2019-08-01,usa,FLORIDA,Unspecific,M,,N,August,2019.0
2019-08-01,usa,FLORIDA,surfing,M,40.0,N,August,2019.0
